
DATE,PE
2018-09-10,17.193318991275248
2018-09-11,17.257619218357835
2018-09-12,17.263774351619457
2018-09-13,17.354965937612047
2018-09-14,17.359746623640493
2018-09-17,17.263057248715192
2018-09-18,17.35574279909167
2018-09-19,17.377494920521094
2018-09-20,17.51374447233178
2018-09-21,17.507290546193378
2018-09-24,17.44573921357715
2018-09-25,17.422971196366678
2018-09-26,17.365662722600693
2018-09-27,17.41364885861121
2018-09-28,17.4135293414605
2018-10-01,17.418642048838596
2018-10-02,17.411733174508633
2018-10-03,17.42412150089339
2018-10-04,17.28177486599166
2018-10-05,17.186241810601548
2018-10-08,17.17945205479452
2018-10-09,17.15509231685527
2018-10-10,16.591304347826085
2018-10-11,16.249970220369267
2018-10-12,16.480821917808218
2018-10-15,16.38350208457415
2018-10-16,16.73567599761763
2018-10-17,16.7314472900536
2018-10-18,16.49064919594997
2018-10-19,16.484693269803454
2018-10-22,16.413817748659916
2018-10-23,16.323347230494342
2018-10-24,15.819535437760573
2018-10-25,16.114175104228707
2018-10-26,15.834961286480048
2018-10-29,15.731089934484812
2018-10-30,15.977546158427636
2018-10-31,16.15092316855271
2018-11-01,16.184561776517835
2018-11-02,16.082329317269078
2018-11-05,16.17239546420978
2018-11-06,16.27362390739428
2018-11-07,16.618769194424758
2018-11-08,16.57707299787385
2018-11-09,16.424580675643753
2018-11-12,16.10099220411056
2018-11-13,16.077132057642334
2018-11-14,15.955468934561775
2018-11-15,16.12449799196787
2018-11-16,16.160347271438695
2018-11-19,15.891389085754785
2018-11-20,15.602941176470589
2018-11-21,15.650425230333097
2018-11-22,15.650425230333097
2018-11-23,15.547838412473425
2018-11-26,15.78933380581148
2018-11-27,15.84083392393102
2018-11-28,16.20476021733995
2018-11-29,16.169147176943067
2018-11-30,16.301500118119538
2018-12-03,16.34471649484536
2018-12-04,15.815721649484535
2018-12-05,15.815721649484535
2018-12-06,15.791647141518274
2018-12-07,15.423383317713215
2018-12-10,15.450562324273664
2018-12-11,15.445056232427367
2018-12-12,15.528760543580132
2018-12-13,15.525656044985942
2018-12-14,15.229322867853794
2018-12-17,14.912956888472351
2018-12-18,14.914245548266166
2018-12-19,14.684629803186503
2018-12-20,14.453022492970948
2018-12-21,14.15545923149016
2018-12-24,13.771672914714152
2018-12-25,13.771672914714152
2018-12-26,14.4546626054358
2018-12-27,14.57843252108716
2018-12-28,14.560332708528584
2018-12-31,14.683985473289596
2019-01-01,14.683985473289596
2019-01-02,14.656253649421933
2019-01-03,14.29341352329791
2019-01-04,14.784187784654913
2019-01-07,14.887831367511389
2019-01-08,15.032173303748689
2019-01-09,15.09377554595352
2019-01-10,15.161975943010628
2019-01-11,15.159757094476236
2019-01-14,15.080053719490834
2019-01-15,15.241737708746935
2019-01-16,15.275604344271867
2019-01-17,15.39156837556931
2019-01-18,15.594476234964382
2019-01-21,15.594476234964382
2019-01-22,15.373700805792364
2019-01-23,15.407567441317296
2019-01-24,15.428763283895831
2019-01-25,15.559733738175876
2019-01-28,15.4376386780334
2019-01-29,15.415158238934954
2019-01-30,15.654852271400213
2019-01-31,15.789442952236366
2019-02-01,15.791644786743689
2019-02-04,15.898652196744267
