ticker,name,sector,industry,market_cap,metric_used,cagr_5yr,years_positive,yoy_sequence,implied_growth,finviz_5yr,gap,debt_equity,business_summary,reasons_skipped
EVN,Eaton Vance Municipal Income Tr,Financial Services,Asset Management,420873600.0,EPS,0.11439175910702226,1/2,"(-460,?,+178)",0.6389472087941803,,-0.5245554496871581,0.46073000000000003,"Eaton Vance Municipal Income Trust is a close ended fixed income mutual fund launched and managed by Eaton Vance Management. It invests in the fixed income markets. The fund invests primarily in investment grade municipal obligations of various sectors, such as cogeneration, education, electric utilities, general obligations, healthcare, hospital, housing, transportation, and nursing home. Eaton Vance Municipal Income Trust was formed in 1998 and is domiciled in United States.",
SND,"Smart Sand, Inc.",Energy,Oil & Gas Equipment & Services,214068688.0,EPS,-0.497890220392047,0/3,"(-229,?,?,-33,-62)",0.03571733255854759,,-0.5336075529505946,0.166,"Smart Sand, Inc., a fully integrated frac and industrial sand supply and services company, provides mine to wellsite proppant supply and logistics solutions to its frac sand customers in the United States and Canada. The company operates in two segments, Sand and SmartSystems. The Sand segment offers frac sand and industrial products solutions. The SmartSystems segment rents its patented SmartSystems equipment and offers related services, as well as provides portable wellsite storage and management solutions. The company engages in the excavation, processing, and sale of sand or proppant for u",
JYNT,The Joint Corp.,Healthcare,Medical Care Facilities,128013448.0,EPS,-0.2673404442289239,0/3,"(-51,-82,-912,?,?)",0.3042453606247031,,-0.571585804853627,0.13180999999999998,"The Joint Corp. operates and is a franchisor and operator of chiropractic clinics in the United States. The company provides services under the franchise agreement, including training of franchisees and staff, site selection, construction/vendor management and ongoing operations support. It operates through a network of franchised clinics, offering routine and affordable chiropractic adjustments using a private pay, non-insurance, cash-based model. The company was incorporated in 2010 and is headquartered in Scottsdale, Arizona.",
PTNM,Pitanium Limited,Consumer Defensive,Household & Personal Products,239099888.0,EPS,-0.1325279288712211,0/1,(-13),0.47104160344762325,,-0.6035695323188444,0.32128,"Pitanium Limited, through its subsidiaries, provides retail and online sales of proprietary branded skincare, haircare, cosmetic, and personal care products in Hong Kong. It offers facial-care products, such as serums, cleansing products, face masks, and toners; haircare products, including shampoo, conditioners, hair serum, hair supplements, hair treatment, scalp scrub, and hair oil and masks; and cosmetic products comprising primer, compact powder, eyeliner, mascara, lipsticks, and lip gloss and balm. The company also provides body-care products consisting of deodorants, makeup removers, bod",
TRC,Tejon Ranch Co,Industrials,Conglomerates,515694464.0,Revenue,-0.14454961746083528,1/3,"(-44,-6,+18)",0.4591122554109144,,-0.6036618728717497,0.19483,"Tejon Ranch Co., together with its subsidiaries, operates as a diversified real estate development and agribusiness company. It operates through six segments: Real Estate - Commercial/Industrial; Multifamily; Real Estate - Resort/Residential; Mineral Resources; Farming; And Ranch Operations. The Real Estate - Commercial/Industrial segment engages in the planning and permitting of land for development; construction of infrastructure and building, pre-leased buildings, and buildings to be leased or sold; sale of land to third parties for their own development; and activities related to communica",
MAMK,MaxsMaking Inc.,Industrials,Conglomerates,218784992.0,EPS,-0.20425301931111894,0/1,(-20),0.40739101130511823,,-0.6116440306162372,0.34298,"MaxsMaking Inc., through its subsidiaries, manufactures and sells customized consumer goods in Mainland China, rest of Asia, North America, Europe, the Oceania, South America, and Africa. The company offers backpacks, thermal bags, canvas bags, aprons, throw pillows, flags, tablecloths, advertising chair covers, and other consumer goods. It is also involved in software development, digital production, product design and brand management activities, as well as online sales and international trade. It sells its products through e-commerce platform, social media, and other online channels. The co",
EIG,Employers Holdings Inc,Financial Services,Insurance - Specialty,806519488.0,EPS,-0.35017941471983693,3/5,"(+5,-58,+154,+6,-90)",0.2995385835215987,,-0.6497179982414356,0.14864,"Employers Holdings, Inc., through its subsidiaries, provides workers' compensation insurance and services in the United States. The company offers insurance to small businesses in low to medium hazard industries. It market its products through local, regional, specialty and national insurance agents and brokers; national, regional, and local trade groups and associations; and direct-to-customer interactions. Employers Holdings, Inc. was founded in 2000 and is based in Reno, Nevada.",
PHAR,Pharming Group N.V.,Healthcare,Biotechnology,900655296.0,EPS,-0.4246304173352119,0/1,"(-171,?,?)",0.25531903787402266,,-0.6799494552092346,0.43205,"Pharming Group N.V., a biopharmaceutical company, develops and commercializes protein replacement therapies and precision medicines for the treatment of rare diseases in the United States, Europe, and internationally. The company's lead product is RUCONEST, a recombinant C1 esterase inhibitor for the treatment of acute attacks in adult and adolescent patients with acute hereditary angioedema (HAE); and Joenja (leniolisib), an oral small molecule PI3K? inhibitor for the treatment of activated phosphoinositide 3-kinase delta syndrome. It also develops Joenja, an oral small molecule PI3K? inhibit",
ASLE,AerSale Corporation,Industrials,Airports & Air Services,296275232.0,EPS,-0.5243082566848809,2/4,"(-90,+9,-118,?,+64)",0.1611905449940676,,-0.6854988016789485,0.40467,"AerSale Corporation provides aftermarket commercial aircraft, engines, and its parts to passenger and cargo airlines, leasing companies, original equipment manufacturers, government and defense contractors, and maintenance, repair, and overhaul service providers worldwide. It operates in two segments, Asset Management Solutions and Technical Operations (TechOps). The Asset Management Solutions segment engages in the sale and lease of aircraft, engines, and airframes, as well as disassembly of these assets for component parts. The TechOps segment provides internal and third-party aviation servi",
DSP,Viant Technology Inc.,Technology,Software - Application,727057600.0,EPS,-0.5550424691351848,1/2,"(-103,?,?,?,+157)",0.1528558292311224,,-0.7078982983663072,0.08052,"Viant Technology Inc. operates a cloud-based demand side platform (DSP) that enables the programmatic purchase of digital advertising across multiple channels, including connected TV (CTV), streaming audio, digital out-of-home, mobile, and desktop. It provides ViantAI, an artificial intelligence product suite; Holistic, Omnichannel DSP, an integrated platform that manages omnichannel campaigns and access metrics; Household ID, which combines digital and personal identifiers into a normalized household profile; IRIS_ID, a content identifier that allows partners to share video-level data to powe",
OBE,Obsidian Energy Ltd.,Energy,Oil & Gas E&P,808666624.0,Revenue,-0.1261031352125892,1/3,"(-18,+12,-27)",0.6611277202363932,,-0.7872308554489824,0.19513000000000003,"Obsidian Energy Ltd. engages in the exploration, development, and production of oil and natural gas in Western Canada. Its portfolio of properties includes unitized and non-unitized light oil, heavy oil, and natural gas production. The company was formerly known as Penn West Petroleum Ltd. and changed its name to Obsidian Energy Ltd. in June 2017. Obsidian Energy Ltd. is headquartered in Calgary, Canada.",
IAF,61617,Financial Services,Asset Management,120162960.0,EPS,-0.80703875375301,0/1,"(-163,?)",0.031182421796058124,,-0.8382211755490682,0.06979,"Abrdn Australia Equity Fund Inc is a closed ended equity mutual fund launched and managed by Aberdeen Standard Investments (Asia) Limited. The fund is managed by Aberdeen Standard Investments Australia Limited. It invests in the public equity markets of Australia. The fund makes its investments in firms operating across diversified sectors. It employs fundamental analysis with a bottom-up and top-down stock picking approach with focus on factors like growth prospects, competitive positions in domestic and export markets, technology, research and development, productivity, labor and raw materia",
FRPH,"FRP Holdings, Inc.",Real Estate,Real Estate Services,438040800.0,EPS,-0.32866434288682234,3/5,"(+127,-92,+17,+21,-47)",0.5111195625349434,,-0.8397839054217657,0.44876,"FRP Holdings, Inc. engages in the real estate business in the United States. The company operates through four segments: Industrial and Commercial, Mining Royalty Lands, Development, and Multifamily. Its Industrial and Commercial segment owns, leases, and manages commercial properties. The Mining Royalty Lands segment owns, leases, and manages mining royalties in Florida, Georgia, and Virginia. Its Development segment owns and assesses the use of parcels of land that are in various stages of development; and constructs new buildings own and operate. The Multifamily segment owns, leases, and ma",
CEV,10525,Financial Services,Asset Management,71461120.0,EPS,-0.16275996644545965,0/1,"(-581,?)",inf,,-inf,0.47769,"Eaton Vance California Municipal Income Trust is a close ended fixed income mutual fund launched and managed by Eaton Vance Management. It invests in the fixed income markets. The fund invests primarily in debt securities issued by education, hospital, housing, insured-education, insured-electric utilities, insured-hospital, insured-transportation, insured-water and sewer, transportation, and other sectors. Eaton Vance California Municipal Income Trust was formed in 1999 and is domiciled in United States.",
GROY,Gold Royalty Corp.,Basic Materials,Gold,728203008.0,Revenue,0.5818136986990399,2/3,"(-23,+231,+55)",inf,,-inf,0.024,"Gold Royalty Corp., a precious metals-focused royalty company, provides financing solutions to the metals and mining industry in the United States, Bosnia and Herzegovina, Canada, Brazil, and Mexico. It focuses on acquiring royalties, streams, or similar interests at varying stages of the mine life cycle to build a portfolio offering near, medium, and longer-term returns for its investors. The company was incorporated in 2020 and is headquartered in Vancouver, Canada.",
MAGH,Magnitude International Ltd,Industrials,Engineering & Construction,225446000.0,EPS,1.4845570716915741,1/1,(+148),inf,,-inf,0.45115,"Magnitude International Ltd provides mechanical and electrical engineering service in Singapore. The company engages in provision of electrical installation and licensing services for greenfield and brownfield electrical installation projects. It also offers electrical installation for private and public housing, commercial and mixed-use developments, and other public facilities; and installs generators, transformers, high and low tension systems, lightning protection systems, underground infrastructures, telecommunication systems, security systems, solar panel systems, capacitor banks, fire a",
