ticker,name,sector,industry,market_cap,metric_used,cagr_5yr,years_positive,yoy_sequence,implied_growth,finviz_5yr,gap,debt_equity,business_summary,reasons_skipped
ABTS,Abits Group Inc,Financial Services,Capital Markets,2547140.0,EPS,nan,,,nan,,nan,0.24098,"Abits Group Inc., through its subsidiary, operates in the bitcoin mining business in the United States. It also provides in-house support services. The company was formerly known as Moxian (BVI) Inc and changed its name to Abits Group Inc. in November 2023. Abits Group Inc. was incorporated in 2021 and is based in Causeway Bay, Hong Kong.",too_small
AAUC,Allied Gold Corporation,Basic Materials,Gold,3413899008.0,EPS,nan,,,nan,,nan,0.55374,"Allied Gold Corporation, together with its subsidiaries, operates as gold mining company in Africa. It primarily explores gold and silver deposits. The company's flagship project is the Sadiola gold project comprising of 2 mining licenses located in the Republic of Mali. The company was formerly known as Allied Gold Corp Limited & Allied Merger Corporation and changed its name to Allied Gold Corporation in September 2023. Allied Gold Corporation is based in Toronto, Canada.","too_large, de_too_high:0.55"
ABT,Abbott Laboratories,Healthcare,Medical Devices,152286724096.0,EPS,nan,,,0.13942255353154742,,nan,0.6477299999999999,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, hypertriglyceridemia, Ménière's disease and vestibu","too_large, de_too_high:0.65"
ABVC,"ABVC Biopharma, Inc.",Healthcare,Biotechnology,26919084.0,EPS,nan,,,nan,,nan,0.21288,"ABVC BioPharma, Inc., a clinical-stage biopharmaceutical company, develops drugs and medical devices to fulfill unmet medical needs in the United States. The company is developing ABV-1501, which is in Phase II clinical trials as a combination therapy for triple negative breast cancer; ABV-1504, which has completed Phase II clinical trials for depressive disorders; ABV-1505, which is in Phase II clinical trials for adult attention deficit hyperactivity disorder; ABV-1702, which is in Phase II clinical trials to treat myelodysplastic syndromes; and ABV-1601, which is in Phase I/II clinical tria",too_small
ABTC,American Bitcoin Corp.,Financial Services,Capital Markets,2040288128.0,EPS,nan,,,0.23546515374810073,,nan,0.29137,"American Bitcoin Corp., a Bitcoin accumulation platform company, focuses on building a Bitcoin infrastructure platform. The company is engaged in the operation of application-specific integrated circuit miners for the purpose of mining Bitcoin and the strategic accumulation of a Bitcoin reserve. The company is based in Miami, Florida. American Bitcoin Corp. operates as a subsidiary of Hut 8 Corp.",too_large
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,5835593728.0,EPS,nan,,,0.14845922231314246,,nan,0.59551,"Arcosa, Inc., together with its subsidiaries, provides infrastructure-related products and solutions for the construction, engineered structures, and transportation markets in the United States. The company operates through three segments: Construction Products, Engineered Structures, and Transportation Products. The Construction Products segment offers natural and recycled aggregates; specialty materials; and construction site support equipment, including trench shields and shoring products for residential and non-residential construction, and specialty and other products, as well as for infr","too_large, de_too_high:0.60"
ACCL,Acco Group Holdings Limited,Industrials,Consulting Services,19810252.0,EPS,nan,,,0.11902236644703401,,nan,0.12521000000000002,"Acco Group Holdings Limited, through its subsidiaries, operates as an IT-driven corporate service provider in Hong Kong and Singapore. The company offers corporate secretarial and accounting services, as well as intellectual properties registration services under the Accolade brand name. It serves individual clients, small and medium-sized enterprises, and multinational corporations. Acco Group Holdings Limited was founded in 2009 and is based in Sheung Wan, Hong Kong. Acco Group Holdings Limited operates as a subsidiary of Star Blessings Limited.",too_small
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,3652461056.0,EPS,nan,,,0.042179976107962425,,nan,4.07,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of medicines for neurological and rare disease in North America. The company offers NUPLAZID (pimavanserin), a selective serotonin inverse agonist/antagonist for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis; and DAYBUE, a novel synthetic analog of the amino-terminal tripeptide of insulin-like growth factor 1 to treat the symptoms of Rett syndrome by reducing neuroinflammation and supporting synaptic function. It also develops remlifanserin, w","too_large, de_too_high:4.07"
ACAAU,Averin Capital Acquisition Corp,Financial Services,Shell Companies,0.0,EPS,nan,,,nan,,nan,nan,"Averin Capital Acquisition Corp. focuses on effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. Averin Cap Acquisition Corp. was incorporated in 2025 and is headquartered in New York, New York.","no_market_cap, no_debt_equity"
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,1306247808.0,EPS,nan,,,nan,,nan,1.54256,"ProFrac Holding Corp. operates as a technology-focused energy services holding company in the United States. It operates through four segments: Stimulation Services, Proppant Production, Manufacturing, and and Flotek Industries, Inc. The company offers hydraulic fracturing, proppant production, well stimulation, in-basin frac sand, and other completion services and complementary products and services to upstream oil and natural gas companies engaged in the exploration and production of unconventional oil and natural gas resources. It also manufactures and sells high horsepower pumps, valves, p","too_large, de_too_high:1.54"
