                                                    Concept  PeriodEnd                                                                                                                                                   Dims         Value
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                      srt:ProductOrServiceAxis:teva:AustedoMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  9.630000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                            srt:ProductOrServiceAxis:teva:BendekaAndTreandaMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  1.680000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                            srt:ProductOrServiceAxis:teva:BendekaAndTreandaMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  2.370000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                            srt:ProductOrServiceAxis:teva:BendekaAndTreandaMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  3.090000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                     srt:ProductOrServiceAxis:teva:COPAXONEMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  2.420000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                     srt:ProductOrServiceAxis:teva:COPAXONEMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  2.970000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                     srt:ProductOrServiceAxis:teva:COPAXONEMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  3.590000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                        srt:ProductOrServiceAxis:teva:UzedyMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  1.170000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                        srt:ProductOrServiceAxis:teva:UzedyMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  2.300000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                         srt:ProductOrServiceAxis:teva:AndaMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  1.536000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                         srt:ProductOrServiceAxis:teva:AndaMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  1.577000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                         srt:ProductOrServiceAxis:teva:AndaMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  1.471000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                srt:ProductOrServiceAxis:teva:OtherProductsMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  5.230000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                srt:ProductOrServiceAxis:teva:OtherProductsMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  1.025000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                srt:ProductOrServiceAxis:teva:OtherProductsMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  5.360000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                   us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  8.034000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                   us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  7.731000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                   us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  7.003000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31        srt:ProductOrServiceAxis:teva:GenericsMediciansIncludingOtcAndBiosimilarsMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  3.926000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31        srt:ProductOrServiceAxis:teva:GenericsMediciansIncludingOtcAndBiosimilarsMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  3.664000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31        srt:ProductOrServiceAxis:teva:GenericsMediciansIncludingOtcAndBiosimilarsMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  3.466000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                              srt:ProductOrServiceAxis:teva:AjovyMember; us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  2.160000e+08
