Date,Open,High,Low,Close,Volume,ChangePct
2006-09-01,131.14,133.99,129.35,133.58,1360000000.0,0.0225
2006-10-01,133.54,139.0,132.34,137.79,1450000000.0,0.0315
2006-11-01,138.22,141.16,135.62,140.53,1500000000.0,0.0199
2006-12-01,140.53,143.24,138.97,141.62,1210000000.0,0.0078000000000000005
2007-01-01,142.25,144.13,140.25,143.75,1350000000.0,0.015
2007-02-01,144.15,146.42,139.0,140.93,1500000000.0,-0.0196
2007-03-01,139.34,143.81,136.75,142.0,2920000000.0,0.0076
2007-04-01,142.16,149.8,140.89,148.29,1800000000.0,0.0443
2007-05-01,148.42,153.89,147.67,153.32,2520000000.0,0.0339
2007-06-01,153.88,154.4,148.06,150.43,3510000000.0,-0.018799999999999997
2007-07-01,150.87,156.0,145.04,145.72,3990000000.0,-0.0313
2007-08-01,145.18,150.59,137.0,147.59,6240000000.0,0.0128
2007-09-01,147.45,154.39,144.33,152.58,2970000000.0,0.0338
2007-10-01,152.6,157.52,148.0,154.65,3850000000.0,0.013600000000000001
2007-11-01,153.29,153.41,140.66,148.66,5470000000.0,-0.0387
2007-12-01,148.19,152.89,143.96,146.21,3290000000.0,-0.0165
2008-01-01,146.53,146.99,126.0,137.37,6110000000.0,-0.0605
2008-02-01,137.94,139.61,131.73,133.82,4150000000.0000005,-0.0258
2008-03-01,133.14,135.81,126.07,131.97,5470000000.0,-0.0138
2008-04-01,133.71,140.59,132.33,138.26,4010000000.0,0.04769999999999999
2008-05-01,138.39,144.3,137.52,140.35,3650000000.0,0.0151
2008-06-01,139.83,140.89,127.03,127.98,5410000000.0,-0.08810000000000001
2008-07-01,126.52,129.16,120.02,126.83,7160000000.0,-0.009000000000000001
2008-08-01,127.12,131.51,124.76,128.79,4340000000.0,0.0155
2008-09-01,130.03,130.71,110.53,115.99,8109999999.999999,-0.09939999999999999
2008-10-01,115.27,116.69,83.58,96.83,11890000000.0,-0.16519999999999999
2008-11-01,96.78,100.86,74.34,90.09,8770000000.0,-0.0696
2008-12-01,87.51,92.43,81.86,90.24,6930000000.0,0.0017000000000000001
2009-01-01,90.44,94.55,80.05,82.83,6880000000.0,-0.0821
2009-02-01,81.57,87.74,73.81,73.93,7280000000.0,-0.1074
2009-03-01,72.52,83.3,67.1,79.52,8810000000.0,0.0756
2009-04-01,78.53,89.02,78.33,87.42,6210000000.0,0.0993
2009-05-01,87.44,93.7,86.72,92.53,5200000000.0,0.058499999999999996
2009-06-01,93.67,96.11,87.53,91.95,5050000000.0,-0.0063
2009-07-01,92.34,99.83,87.0,98.81,4300000000.0,0.0746
2009-08-01,99.85,104.35,98.11,102.46,3960000000.0,0.0369
2009-09-01,101.95,108.06,99.57,105.59,3780000000.0,0.0305
2009-10-01,105.34,110.31,101.99,103.56,4480000000.0,-0.0192
2009-11-01,104.13,111.74,103.08,109.94,3430000000.0,0.0616
2009-12-01,110.92,113.03,105.48,111.44,2880000000.0,0.013600000000000001
2010-01-01,112.37,115.14,107.22,107.39,3710000000.0,-0.0363
2010-02-01,108.15,111.58,104.58,110.74,4450000000.0,0.031200000000000002
2010-03-01,111.2,118.17,111.17,117.0,3900000000.0,0.0565
2010-04-01,117.8,122.12,117.1,118.81,4010000000.0,0.0155
2010-05-01,119.38,120.68,104.38,109.37,7410000000.0,-0.0795
2010-06-01,108.35,113.2,102.88,103.22,5710000000.0,-0.0562
2010-07-01,103.15,112.29,101.13,110.27,4720000000.0,0.0683
2010-08-01,111.99,113.18,104.29,105.31,4540000000.0,-0.045
2010-09-01,106.73,115.79,106.66,114.13,4050000000.0,0.08380000000000001
2010-10-01,114.99,119.76,113.18,118.49,3770000000.0,0.0382
2010-11-01,119.07,122.95,117.59,118.49,3980000000.0,0.0
2010-12-01,120.2,126.2,120.19,125.75,2720000000.0,0.0613
2011-01-01,126.71,130.35,125.7,128.68,2860000000.0,0.0233
2011-02-01,129.46,134.69,129.38,133.15,2820000000.0,0.0347
2011-03-01,133.57,133.69,125.28,132.59,4790000000.0,-0.0042
2011-04-01,133.41,136.57,129.51,136.43,2820000000.0,0.028999999999999998
2011-05-01,137.07,137.18,131.38,134.9,3340000000.0,-0.011200000000000002
2011-06-01,134.51,134.92,126.19,131.97,4710000000.0,-0.0217
2011-07-01,132.09,135.7,127.97,129.33,3840000000.0,-0.02
2011-08-01,130.84,130.96,110.27,122.22,9050000000.0,-0.055
2011-09-01,122.29,123.4,111.3,113.15,6190000000.0,-0.0742
2011-10-01,112.49,129.42,107.43,125.5,5670000000.0,0.1091
2011-11-01,122.03,128.02,116.2,124.99,5010000000.0,-0.0040999999999999995
2011-12-01,124.85,127.26,120.03,125.5,3850000000.0,0.0040999999999999995
2012-01-01,127.76,133.4,126.43,131.32,2880000000.0,0.0464
2012-02-01,132.29,138.19,132.13,137.02,2900000000.0,0.0434
2012-03-01,137.31,141.83,134.36,140.81,3060000000.0,0.0277
2012-04-01,140.64,142.21,135.76,139.87,3030000000.0,-0.0067
2012-05-01,139.79,141.66,129.55,131.47,4000000000.0,-0.0601
2012-06-01,129.41,136.27,127.14,136.1,3640000000.0,0.0352
2012-07-01,136.48,139.34,132.6,137.71,2860000000.0,0.0118
2012-08-01,138.7,143.09,135.58,141.16,2410000000.0,0.025099999999999997
2012-09-01,141.04,148.11,140.13,143.97,2390000000.0,0.0199
2012-10-01,144.52,147.16,140.39,141.35,2720000000.0,-0.0182
2012-11-01,141.65,143.72,134.7,142.16,3030000000.0,0.005699999999999999
2012-12-01,142.8,145.58,139.54,142.41,2890000000.0,0.0018
2013-01-01,145.11,150.94,144.73,149.7,2590000000.0,0.0512
2013-02-01,150.65,153.28,148.73,151.61,2580000000.0,0.0128
2013-03-01,151.09,156.85,150.41,156.67,2330000000.0,0.0334
2013-04-01,156.59,159.72,153.55,159.68,2910000000.0,0.0192
2013-05-01,159.33,169.07,158.1,163.44,2780000000.0,0.0235
2013-06-01,163.83,165.99,155.73,160.42,3530000000.0,-0.018500000000000003
2013-07-01,161.26,169.86,160.22,168.71,2330000000.0,0.051699999999999996
2013-08-01,169.99,170.97,163.05,163.65,2280000000.0,-0.03
2013-09-01,165.23,173.6,163.7,168.01,2250000000.0,0.026600000000000002
2013-10-01,168.14,177.51,164.53,175.79,2900000000.0,0.0463
2013-11-01,176.02,181.75,174.76,181.0,1930000000.0,0.0296
2013-12-01,181.09,184.69,177.32,184.69,2230000000.0,0.0204
